DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;CAP;NC2R_CA_P3;NC2R_CJ_P4_S1A2;NC2R_CA_P4_S1;NC2R_CA_P5_S1;NC2R_CA_P6_S1;NC2R_CA_P7_S1;NC2R_CA_P8_S1;FEX_C
118329;1;1;1;J1; ; ; ; ; ; ; ;930,884372206747
119104;1;1;1;J1; ; ; ; ; ; ; ;856,998870477265
119678;1;1;1;J1; ; ; ; ; ; ; ;398,219809177638
119718;1;1;1;J1; ; ; ; ; ; ; ;1088,26377552162
119719;1;1;1;J1; ; ; ; ; ; ; ;660,786725054838
119720;1;1;1;J1; ; ; ; ; ; ; ;949,799331116538
119721;1;1;1;J1; ; ; ; ; ; ; ;593,503168480491
119722;1;1;1;J1; ; ; ; ; ; ; ;593,503168480491
119723;1;1;1;J1; ; ; ; ; ; ; ;1075,90968915231
119724;1;1;1;J1; ; ; ; ; ; ; ;989,833037928121
119726;1;1;1;J1; ; ; ; ; ; ; ;754,27524135324
119729;1;1;1;J1; ; ; ; ; ; ; ;902,689183204314
119730;1;1;1;J1; ; ; ; ; ; ; ;969,993342891199
119876;1;1;1;J1; ; ; ; ; ; ; ;1712,99570145354
119878;1;1;1;J1; ; ; ; ; ; ; ;2314,7266723685
119880;1;1;1;J1; ; ; ; ; ; ; ;1616,88363887848
119881;1;1;1;J1; ; ; ; ; ; ; ;1000,46645583376
119883;1;1;1;J1; ; ; ; ; ; ; ;1635,80247810906
119884;1;1;1;J1; ; ; ; ; ; ; ;1767,04520430255
119886;1;1;1;J1; ; ; ; ; ; ; ;1613,12213267421
119887;1;1;1;J1; ; ; ; ; ; ; ;2585,55839379538
119889;1;1;1;J1; ; ; ; ; ; ; ;812,108986469096
119890;1;1;1;J1; ; ; ; ; ; ; ;1467,21926893935
119891;1;1;1;J1; ; ; ; ; ; ; ;1676,22518820075
119892;1;1;1;J1; ; ; ; ; ; ; ;927,470109205356
119893;1;1;1;J1; ; ; ; ; ; ; ;1591,23950567018
119894;1;1;1;J1; ; ; ; ; ; ; ;1814,80224845395
120570;1;1;1;J1; ; ; ; ; ; ; ;2366,58808363962
121048;1;1;1;J1; ; ; ; ; ; ; ;1233,76201047611
121049;1;1;1;J1; ; ; ; ; ; ; ;1126,56804622397
121051;1;1;1;J1; ; ; ; ; ; ; ;489,950207094199
121052;1;1;1;J1; ; ; ; ; ; ; ;854,014296897025
121053;1;1;1;J1; ; ; ; ; ; ; ;553,71729012406
121093;1;1;1;J1; ; ; ; ; ; ; ;1313,95197761811
121095;1;1;1;J1; ; ; ; ; ; ; ;1224,32363100338
121096;1;1;1;J1; ; ; ; ; ; ; ;1224,32363100338
121097;1;1;1;J1; ; ; ; ; ; ; ;821,579401040125
121098;1;1;1;J1; ; ; ; ; ; ; ;1177,26257891966
121099;1;1;1;J1; ; ; ; ; ; ; ;1294,09167946865
121101;1;1;1;J1; ; ; ; ; ; ; ;801,385389265465
121412;1;1;1;J1; ; ; ; ; ; ; ;1208,79202341642
121413;1;1;1;J1; ; ; ; ; ; ; ;1524,66454865387
121416;1;1;1;J1; ; ; ; ; ; ; ;1883,53318282494
121622;1;1;1;J1; ; ; ; ; ; ; ;553,71729012406
121623;1;1;1;J1; ; ; ; ; ; ; ;553,71729012406
121624;1;1;1;J1; ; ; ; ; ; ; ;545,145685534014
121628;1;1;1;J1; ; ; ; ; ; ; ;992,317529819037
121629;1;1;1;J1; ; ; ; ; ; ; ;547,874692094617
121630;1;1;1;J1; ; ; ; ; ; ; ;1098,23387608015
121631;1;1;1;J1; ; ; ; ; ; ; ;784,085036948689
121632;1;1;1;J1; ; ; ; ; ; ; ;739,432618440648
121770;1;1;1;J1; ; ; ; ; ; ; ;1556,49945064519
121772;1;1;1;J1; ; ; ; ; ; ; ;1570,10683563707
121815;1;1;1;J1; ; ; ; ; ; ; ;1098,23387608015
121817;1;1;1;J1; ; ; ; ; ; ; ;911,18714454231
121835;1;1;1;J1; ; ; ; ; ; ; ;459,367141053749
121836;1;1;1;J1; ; ; ; ; ; ; ;540,377668743098
121837;1;1;1;J1; ; ; ; ; ; ; ;613,099840273788
121839;1;1;1;J1; ; ; ; ; ; ; ;878,665235344193
121843;1;1;1;J1; ; ; ; ; ; ; ;624,468052425673
121844;1;1;1;J1; ; ; ; ; ; ; ;715,975438360327
121845;1;1;1;J1; ; ; ; ; ; ; ;351,910475369662
121846;1;1;1;J1; ; ; ; ; ; ; ;827,948833892657
121898;1;1;1;J1; ; ; ; ; ; ; ;553,71729012406
121899;1;1;1;J1; ; ; ; ; ; ; ;580,968079723388
