DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;CAP;NC2R_CE_P1;NC2R_CE_P2;NC2R_CE_P4S1;NC2R_CE_P5S2;NC2R_CE_P6;NC2R_CE_P7;NC2R_CE_P8;FEX_C
118329;1;2;1;E1;1;07220101;1;1; ;10000;4;930,884372206747
118329;2;2;2;E2;1;02130101;6;3; ;7000;5;930,884372206747
119104;1;2;1;E1;1;07320101;14;1; ;18600;1;856,998870477265
119104;2;2;2;E2;2; ; ; ; ; ; ;856,998870477265
119678;1;1;1;E1;2; ; ; ; ; ; ;398,219809177638
119678;2;1;2;E2;1;11110601;67,2;6;6;168000;3;398,219809177638
119678;3;3;1;E1;1;07320207;2;3; ;3000;4;398,219809177638
119678;4;3;2;E2;2; ; ; ; ; ; ;398,219809177638
119719;1;1;1;E1;2; ; ; ; ; ; ;660,786725054838
119719;2;1;2;E2;2; ; ; ; ; ; ;660,786725054838
119719;3;2;1;E1;1;07320207;4;1; ;12000;3;660,786725054838
119719;4;2;2;E2;2; ; ; ; ; ; ;660,786725054838
119719;5;4;1;E1;2; ; ; ; ; ; ;660,786725054838
119719;6;4;2;E2;2; ; ; ; ; ; ;660,786725054838
119719;7;5;1;E1;2; ; ; ; ; ; ;660,786725054838
119719;8;5;2;E2;2; ; ; ; ; ; ;660,786725054838
119720;1;2;3;E1;1;07320101;6;3; ;18000;1;949,799331116538
119720;2;2;4;E2;2; ; ; ; ; ; ;949,799331116538
119721;1;1;1;E1;1;07320199;2;1; ;6000;3;593,503168480491
119721;2;1;2;E2;2; ; ; ; ; ; ;593,503168480491
119722;1;2;1;E1;2; ; ; ; ; ; ;593,503168480491
119722;2;2;2;E2;2; ; ; ; ; ; ;593,503168480491
119722;3;3;1;E1;1;07320101;8;3; ;40000;2;593,503168480491
119722;4;3;2;E2;2; ; ; ; ; ; ;593,503168480491
119723;1;1;1;E1;1;07220101;1;1; ;15000;3;1075,90968915231
119723;2;1;2;E2;2; ; ; ; ; ; ;1075,90968915231
119726;1;1;1;E1;2; ; ; ; ; ; ;754,27524135324
119726;2;1;2;E2;2; ; ; ; ; ; ;754,27524135324
119726;3;3;1;E1;2; ; ; ; ; ; ;754,27524135324
119726;4;3;2;E2;2; ; ; ; ; ; ;754,27524135324
119729;1;2;1;E1;2; ; ; ; ; ; ;902,689183204314
119729;2;2;2;E2;2; ; ; ; ; ; ;902,689183204314
119730;1;1;1;E1;2; ; ; ; ; ; ;969,993342891199
119730;2;1;2;E2;2; ; ; ; ; ; ;969,993342891199
119730;3;3;1;E1;2; ; ; ; ; ; ;969,993342891199
119730;4;3;2;E2;2; ; ; ; ; ; ;969,993342891199
119876;1;1;1;E1;1;07220101;1;1; ;10000;3;1712,99570145354
119876;2;1;2;E1;1;08300203;15;1; ;1500;9;1712,99570145354
119876;3;1;3;E2;1;09410205;1;1; ;1500;9;1712,99570145354
119876;4;4;1;E1;2; ; ; ; ; ; ;1712,99570145354
119876;5;4;2;E2;2; ; ; ; ; ; ;1712,99570145354
119876;6;5;1;E1;1;08300203;10;1; ;1000;9;1712,99570145354
119876;7;5;2;E2;2; ; ; ; ; ; ;1712,99570145354
119878;1;1;1;E1;1;07320207;2;1; ;14000;9;2314,7266723685
119878;2;1;2;E2;2; ; ; ; ; ; ;2314,7266723685
119880;1;2;1;E1;2; ; ; ; ; ; ;1616,88363887848
119880;2;2;2;E2;2; ; ; ; ; ; ;1616,88363887848
119880;3;3;1;E1;2; ; ; ; ; ; ;1616,88363887848
119880;4;3;2;E2;2; ; ; ; ; ; ;1616,88363887848
119880;5;4;1;E1;2; ; ; ; ; ; ;1616,88363887848
119880;6;4;2;E2;2; ; ; ; ; ; ;1616,88363887848
119881;1;1;1;E1;2; ; ; ; ; ; ;1000,46645583376
119881;2;1;2;E2;2; ; ; ; ; ; ;1000,46645583376
119881;3;3;1;E1;1;08300203;20;1; ;2000;9;1000,46645583376
119881;4;3;2;E2;2; ; ; ; ; ; ;1000,46645583376
119881;5;5;1;E1;2; ; ; ; ; ; ;1000,46645583376
119881;6;5;2;E2;2; ; ; ; ; ; ;1000,46645583376
119881;7;6;1;E1;2; ; ; ; ; ; ;1000,46645583376
119881;8;6;2;E2;2; ; ; ; ; ; ;1000,46645583376
119884;1;1;1;E1;1;07220101;2,5;1; ;20000;3;1767,04520430255
119884;2;1;2;E2;2; ; ; ; ; ; ;1767,04520430255
119884;3;3;1;E1;2; ; ; ; ; ; ;1767,04520430255
119884;4;3;2;E2;2; ; ; ; ; ; ;1767,04520430255
119887;1;2;1;E1;2; ; ; ; ; ; ;2585,55839379538
119887;2;2;2;E2;2; ; ; ; ; ; ;2585,55839379538
119887;3;3;1;E1;2; ; ; ; ; ; ;2585,55839379538
119887;4;3;2;E2;2; ; ; ; ; ; ;2585,55839379538
119889;1;1;1;E1;2; ; ; ; ; ; ;812,108986469096
119889;2;1;2;E2;2; ; ; ; ; ; ;812,108986469096
119889;3;3;1;E1;2; ; ; ; ; ; ;812,108986469096
119889;4;3;2;E2;2; ; ; ; ; ; ;812,108986469096
119889;5;4;1;E1;2; ; ; ; ; ; ;812,108986469096
119889;6;4;2;E2;2; ; ; ; ; ; ;812,108986469096
119889;7;5;1;E1;2; ; ; ; ; ; ;812,108986469096
119889;8;5;2;E2;2; ; ; ; ; ; ;812,108986469096
119891;1;2;1;E1;2; ; ; ; ; ; ;1676,22518820075
119891;2;2;2;E2;2; ; ; ; ; ; ;1676,22518820075
119891;3;3;1;E1;2; ; ; ; ; ; ;1676,22518820075
119891;4;3;2;E2;2; ; ; ; ; ; ;1676,22518820075
119892;1;2;1;E1;2; ; ; ; ; ; ;927,470109205356
119892;2;2;2;E2;2; ; ; ; ; ; ;927,470109205356
119893;1;1;1;E1;1;07320207;2;1; ;8000;3;1591,23950567018
119893;2;1;2;E2;2; ; ; ; ; ; ;1591,23950567018
119893;3;3;1;E1;2; ; ; ; ; ; ;1591,23950567018
119893;4;3;2;E2;2; ; ; ; ; ; ;1591,23950567018
120570;1;1;1;E1;2; ; ; ; ; ; ;2366,58808363962
120570;2;1;2;E2;2; ; ; ; ; ; ;2366,58808363962
120570;3;3;1;E1;1;07320101;5;1; ;7000;2;2366,58808363962
