DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;NC2R_CE1_P1;NH_CGPRCFH_P1;NH_CGPRCFH_P1S1;NH_CGPRCFH_P1S2;NH_CGPRCFH_P2;NH_CGPRCFH_P3;NH_CGPRCFH_P4;NH_CGPRCFH_P5;NH_CGPRCFH_P6;NH_CGPRCFH_P7;NH_CGPRCFH_P8;FEX_C
118329;1;2;1;1;PAN;11110404;4;4;1;6;2000;2;1;2;930,884372206747
119104;1;2;1;1;CAFE CON EMPANADAS;11110101;1;1;1;19;18000;1;2;2;856,998870477265
119678;1;1;1;1;MANTECADA;11110414;4;5;1;6;1000;2;2;2;398,219809177638
119678;2;1;2;1;GASEOSA;11110414;4;5;1;6;1300;2;2;2;398,219809177638
119678;4;3;1;2; ; ; ; ; ; ; ; ; ; ;398,219809177638
119719;1;1;1;1;BUNUELO;11110101;1;1;1;20;1000;9;2;2;660,786725054838
119719;2;2;1;1;YOGURT;11110304;1;1;1;6;1000;3;2;2;660,786725054838
119719;3;2;2;1;MANZANA;11110101;1;1;1;6;1000;3;2;2;660,786725054838
119719;4;2;3;1;JUGO NATURAL;11110302;1;1;1;6;1500;3;2;2;660,786725054838
119719;5;4;1;1;PAPITAS FRITAS;11110411;4;1;1;6;2000;3;2;2;660,786725054838
119719;6;4;2;1;GASEOSA;11110301;4;2;1;6;2000;2;2;2;660,786725054838
119719;7;5;1;1;TOCINETAS;11110411;4;1;1;6;1000;3;2;2;660,786725054838
119719;8;5;2;1;GASEOSA;11110301;4;1;1;6;1000;3;2;2;660,786725054838
119719;9;5;3;1;BOMBONBUM;11110412;4;1;1;6;200;3;2;2;660,786725054838
119720;1;2;1;1;PASTEL DE AREQUIPE;11110414;4;1;3;19;700;2;2;2;949,799331116538
119720;2;2;2;1;YOGURT DE FRESA;11110304;4;1;3; ;500; ;2;2;949,799331116538
119720;3;2;3;1;PALETA DE AGUA;11110401;4;1;3;19;500;2;2;2;949,799331116538
119721;2;1;1;2; ; ; ; ; ; ; ; ; ; ;593,503168480491
119722;1;3;1;1;TORTA DE CARNE;11110407;1;1;1;19;3000;2;2;2;593,503168480491
119722;2;3;2;1;JUGO HIT;11110301;1;1;1;19;1000;2;2;2;593,503168480491
119722;4;2;1;2; ; ; ; ; ; ; ; ; ; ;593,503168480491
119723;2;1;1;2; ; ; ; ; ; ; ; ; ; ;1075,90968915231
119726;2;1;1;2; ; ; ; ; ; ; ; ; ; ;754,27524135324
119726;3;3;1;2; ; ; ; ; ; ; ; ; ; ;754,27524135324
119729;2;2;1;2; ; ; ; ; ; ; ; ; ; ;902,689183204314
119730;2;1;1;2; ; ; ; ; ; ; ; ; ; ;969,993342891199
119730;3;3;1;2; ; ; ; ; ; ; ; ; ; ;969,993342891199
119876;2;1;1;2; ; ; ; ; ; ; ; ; ; ;1712,99570145354
119876;3;4;1;2; ; ; ; ; ; ; ; ; ; ;1712,99570145354
119876;4;5;1;2; ; ; ; ; ; ; ; ; ; ;1712,99570145354
119878;2;1;1;2; ; ; ; ; ; ; ; ; ; ;2314,7266723685
119880;1;2;1;1;ARROZ CARNE PAPA ENSALADA Y JUGO;11110101;1;5;2;18;30000;9;2;2;1616,88363887848
119880;2;2;2;1;CARNE FRIJOL ARROZ YUCA Y JUGO;11110102;2;5;2;6;25000;9;2;2;1616,88363887848
