DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;NC2_CC_P4;NC2_CC_P4S1;FEX_C
119678;1;1;1;98;43500;398,219809177638
119719;1;1;1;98;365000;660,786725054838
119884;1;1;1;95;30000;1767,04520430255
120570;1;1;1;95;73000;2366,58808363962
120570;2;1;2;97;32000;2366,58808363962
121048;1;1;1;97;250000;1233,76201047611
121049;1;1;1;98;160000;1126,56804622397
121837;1;1;1;98;400000;613,099840273788
121898;1;1;1;98;99;553,71729012406
121903;1;1;1;98;65000;643,314385400729
129000;1;1;1;98;99;552,29651277154
129021;1;1;1;97;120000;1542,89206565332
129030;1;1;1;98;99;553,71729012406
129032;1;1;1;97;80000;1180,47977723551
129046;1;1;1;98;300000;1224,32363100338
133520;1;1;1;95;15000;898,346435158073
133520;2;1;2;96;10000;898,346435158073
133520;3;1;3;97;30000;898,346435158073
134817;1;1;1;95;26600;458,170862982866
134817;2;1;2;96;10000;458,170862982866
134817;3;1;3;97;18000;458,170862982866
135042;1;1;1;95;50000;615,612027875211
135042;2;1;2;96;70000;615,612027875211
135042;3;1;3;97;50000;615,612027875211
135044;1;1;1;98;200000;302,685750558182
135046;1;1;1;95;18000;248,434380164298
135075;1;1;1;95;31500;613,327465015036
135075;2;1;2;96;13500;613,327465015036
135075;3;1;3;97;30000;613,327465015036
135177;1;1;1;95;32100;399,13689694191
135177;2;1;2;96;22700;399,13689694191
135177;3;1;3;97;10100;399,13689694191
135228;1;1;1;95;266000;265,667441587795
135228;2;1;2;96;18000;265,667441587795
135228;3;1;3;97;111500;265,667441587795
135229;1;1;1;95;24000;351,098397447205
135229;2;1;2;97;20000;351,098397447205
135230;1;1;1;98;150000;403,065204980915
135238;1;1;1;97;30000;453,517820800058
135239;1;1;1;95;18000;606,504900437846
135239;2;1;2;97;30000;606,504900437846
135240;1;1;1;95;15000;505,484628333768
135241;1;1;1;95;11600;591,884912267036
135255;1;1;1;95;115000;407,38973677121
135255;2;1;2;96;35000;407,38973677121
135255;3;1;3;97;26000;407,38973677121
135256;1;1;1;95;60400;453,273226870003
135256;2;1;2;96;18000;453,273226870003
135256;3;1;3;97;51000;453,273226870003
143826;1;1;1;98;70000;1130,83511470498
148309;1;1;1;98;150000;1499,48331242122
148310;1;1;1;98;250000;1571,90953638208
148587;1;1;1;98;150000;373,501048420271
148752;1;1;1;98;98;670,482158873047
148757;1;1;1;95;10000;270,412697148375
148757;2;1;2;96;10000;270,412697148375
148759;1;1;1;95;18000;418,90552358064
148759;2;1;2;96;15000;418,90552358064
148837;1;1;1;98;100000;373,641968716526
148838;1;1;1;97;30000;548,559072298295
