"DIRECTORIO";"Gto_CapC"
118277;192000
118278;25000
118282;26400
118285;10700
118286;54200
118291;35100
118292;17000
118295;39000
118297;3000
118302;152250
118303;78009
118308;82900
118311;163400
118319;18000
118322;62166.6666666667
118324;119600
118326;132400
118328;2000
118331;24100
118332;31700
118334;73500
118335;83800
118338;64000
118343;51900
118344;359000
118345;131433.333333333
118346;7200
118348;5000
118352;3000
118353;135000
118354;84700
118362;39000
118372;88200
118373;60700
118375;6500
118376;14500
118381;12000
118382;13000
118389;67000
118394;220000
118403;27000
118405;37000
118407;2500
118410;34666.6666666667
118412;2000
118414;35900
118417;209000
118419;12900
118422;26500
118423;9900
118431;8200
118434;34500
118436;4000
118437;24000
118445;16700
118448;37500
118449;89100
118450;100900
118451;10000
118452;66500
118453;13000
118454;33200
118456;18300
118458;833.333333333333
118461;29000
118463;35000
118464;20000
118466;7000
118467;9000
118475;136100
118476;114000
118479;123000
118480;4800
118481;1300
118483;5000
118485;27500
118486;5500
118488;10000
118490;250000
118491;20000
118494;15500
118495;178000
118496;67800
118497;124900
118498;13000
118499;14800
118501;27800
118502;78300
118504;40000
118505;15000
118506;87000
118507;347300
118508;135300
118511;60500
118512;7500
118513;73433.3333333333
118515;29600
118516;26500
118517;95100
118518;33400
118519;54500
118520;109300
118521;25500
118522;11500
118523;45100
118524;36200
118525;118700
118526;10000
118527;40500
118528;247100
118529;70550
118530;82680
118532;168000
118534;11000
118535;150000
118536;10000
118537;59700
118538;148500
118539;9700
118540;175700
118541;143000
118542;10800
118543;15500
118545;16500
118546;60900
118547;24600
118548;122000
118549;36300
118554;12800
118557;10200
118558;2000
118560;46850
118561;30000
118562;18000
118563;66000
118564;15000
118565;9500
118566;96200
118567;75200
118568;5300
118569;6400
118571;47400
118573;11000
118576;102000
118581;17000
118582;112000
118585;9000
118589;12000
118590;22000
118597;6500
118599;172000
118601;127900
118603;80500
118604;4000
118605;62000
118607;90000
118608;113000
118610;61800
118614;169890
118615;25800
118616;75000
118617;97000
118619;52500
118621;229600
118622;196000
118623;18000
118627;63600
118633;63500
118637;2000
118639;36600
118640;64400
118645;188500
118648;450
118649;5900
118655;1500
118656;180500
118657;161000
118659;244800
118660;174500
118661;204100
118664;17100
118668;8000
118669;64500
118670;46000
118672;74000
118673;86000
118674;150100
118678;54016.6666666667
118679;10250
118684;24000
118687;3000
118696;3800
118698;7500
118700;98650
118701;27200
118702;23700
118706;727700
118708;4100
118715;220500
118718;96700
118719;150700
118720;22000
118723;98700
118724;64000
118730;29600
118731;1100
118732;8800
118734;69200
118738;141700
118757;34000
118758;6600
118759;222000
118761;53300
118762;13000
118763;2000
118765;51066.6666666667
118766;133500
118767;10000
118769;40900
118770;39100
118772;200200
118774;64700
118781;18900
118782;22500
118791;77000
118792;8500
118793;1500
118794;492900
118796;11700
118799;24600
118800;124000
118803;24000
118808;15850
118809;160400
118811;2200
118816;7000
118818;554000
118819;23000
118820;2000
118821;6700
118825;45700
118827;8200
118835;80450
118836;50000
118838;63200
118846;20000
118847;15000
118848;1000
118849;18000
118854;3000
118855;3000
118859;44500
118860;22000
118861;5000
118862;265500
118863;2000
118864;25600
118865;1000
118876;307000
118880;16600
118881;101100
118882;3700
118883;94500
118885;33600
118886;143500
118887;102400
118888;12200
118889;78450
118892;101800
118893;45500
118894;56300
118895;471300
118899;18000
118902;146500
118903;48700
118904;68000
118905;83500
118911;39000
118912;2900
118913;67000
118914;6000
118915;67700
118917;75000
118918;60000
118919;16500
118921;4000
118930;26000
118932;31800
118934;34700
118935;600
118936;2600
118937;10000
118938;206000
118940;20200
118941;177700
118942;217000
118944;58500
118945;595500
118946;136400
118947;511800
118948;12000
118949;112000
118950;38500
118951;51900
118952;34400
118953;15800
118954;84200
118955;31500
118956;188100
118957;600
118958;12300
118959;600
118960;7400
118961;86200
118963;3000
118964;38200
118965;155250
118966;87800
118968;49500
118971;183300
118972;94233.3333333333
118975;8000
118977;27000
118978;3000
118979;32000
118981;3000
118982;333.333333333333
118983;60300
118984;23000
118987;347800
118989;5600
118990;100666.666666667
118996;10200
118998;7000
118999;23600
119001;4000
119002;38300
119003;30100
119005;118600
119014;41000
119015;16700
119016;17000
119018;4500
119019;33000
119020;172600
119021;64700
119022;69100
119023;35300
119024;73000
119026;18400
119027;52500
119030;255000
119032;71500
119038;159500
119039;36850
119040;25000
119041;40000
119045;118800
119051;20000
119052;273100
119056;900
119057;24500
119058;1000
119059;71766.6666666667
119067;44100
119072;3800
119073;109500
119079;197300
119082;34350
119083;51200
119091;10290
119093;26100
119094;4000
119095;46433.3333333333
119097;60700
119106;19900
119107;15000
119109;12000
119111;69500
119114;40000
119116;31300
119117;7300
119118;19400
119119;20400
119120;6900
119123;17300
119126;21000
119130;168100
119131;75000
119132;49200
119133;61000
119140;28000
119144;8000
119147;8000
119151;3500
119152;4000
119153;24500
119155;1200
119156;14000
119157;19833.3333333333
119161;76250
119162;10500
119163;30000
119165;19600
119171;32300
119172;33300
119173;25000
119179;8200
119181;13000
119182;52000
119183;32300
