"DIRECTORIO";"Gto_mercados"
118311;82000
118362;50000
118364;35000
118380;200000
118405;249000
118406;190000
118410;33000
118419;2000
118472;120000
118498;46000
118499;20000
118526;200000
118527;140000
118528;500000
118540;15000
118542;2000
118545;200000
118556;100000
118566;50000
118571;50000
118582;26000
118582;22000
118582;24000
118613;150000
118615;150000
118617;150000
118624;110000
118624;80000
118624;120000
118632;120000
118633;250000
118634;60000
118638;500000
118639;100000
118640;400000
118649;75000
118662;300000
118776;50000
118782;90000
118846;90000
118851;330000
118853;100000
118857;75000
118857;60000
118857;60000
118860;50000
118861;300000
118904;20200
118958;25000
118966;350000
118968;200000
119152;8000
119307;350000
119316;500000
119318;250000
119370;78000
119504;500000
119519;89000
119523;350000
119530;26000
119530;15000
119570;300000
119573;300000
119575;60000
119575;10000
119575;15000
119576;50000
119576;12000
119576;8000
119577;40000
119579;14000
119579;3000
119579;10000
119581;1000000
119582;800000
119587;400000
119611;18000
119614;23000
119616;45000
119618;1300000
119621;200000
119622;100000
119624;80000
119624;20000
119624;15000
119626;50000
119626;10000
119626;20000
119637;20000
119654;300000
119673;120000
119674;300000
119675;200000
119687;50000
119703;140000
119761;600000
119766;800000
119782;70000
119940;1200000
119951;600000
119953;800000
119961;100000
119995;1500
119996;210000
120027;552000
120031;300000
120032;440000
120037;5000
120048;45000
120067;20000
120112;500000
120113;300000
120167;100000
120169;40000
120170;500000
120171;500000
120174;400000
120177;150000
120178;300000
120179;70000
120180;20000
120219;30000
120221;130000
120224;15000
120237;450000
120321;100000
120333;40000
120333;60000
120348;90000
120403;33000
120487;13500
120587;45000
120657;45000
120763;400000
120765;150000
120791;800000
120924;20000
120969;18000
121000;250000
121042;150000
121043;130000
121045;200000
121046;47000
121073;323000
121085;225334
121086;120000
121122;300000
121143;45800
121143;70000
121143;40000
121187;7000
121234;50000
121248;400000
121264;9500
121264;75000
121264;13000
121288;200000
121307;400000
121363;30000
121613;600000
121685;18000
121686;291000
121688;185000
121689;5000
121692;1750
121700;7500
121701;16200
121717;300000
121718;65000
121738;500000
121811;350000
121812;400000
121938;100000
121938;20000
121938;110000
126723;230000
126726;15000
126727;100000
133602;500000
133614;600000
133616;450000
133627;600000
133628;500000
133688;22000
133689;212000
133692;300000
133697;300000
133699;3000
133700;200000
133703;400000
133704;300000
133705;300000
