"DIRECTORIO";"Viajes";"Servicios"
118277;0;105600
118278;0;113000
118279;0;103000
118280;0;47000
118282;0;47040
118285;0;54000
118286;0;66170
118291;0;0
118292;0;45000
118295;0;60000
118296;0;138000
118297;0;59000
118302;0;261860
118303;0;467086.5
118308;0;61382
118311;0;109966
118317;0;71980
118319;0;121000
118322;0;186285
118324;7e+05;252713
118326;0;143000
118328;0;96973
118329;0;11333.3333333333
118331;0;10000
118332;115000;30790
118334;0;128000
118335;0;254949
118338;0;158289
118341;0;45000
118343;0;97433
118344;0;142882
118345;250000;14742
118346;0;0
118348;0;107463
118349;0;223626
118350;0;150071
118351;0;95762
118352;0;160166
118353;3e+05;80509
118354;0;180258
118356;0;271392
118359;0;113587.5
118360;0;0
118361;0;0
118362;0;212101
118364;0;292990
118372;770000;186513
118373;0;112000
118375;0;240000
118376;0;128476
118380;0;337455
118381;0;68000
118382;0;0
118383;0;27300
118385;0;0
118389;0;0
118390;0;33000
118392;0;0
118393;0;427000
118394;0;414000
118395;0;234000
118398;0;326400
118399;0;430000
118403;0;545200
118405;0;381000
118406;0;197000
118407;0;0
118409;0;0
118410;0;349258
118412;0;477000
118414;0;222046
118417;1500000;561863
118419;2e+05;30000
118421;2e+05;166600
118422;0;99000
118423;0;112500
118427;150000;157577
118431;0;67863
118434;0;147887
118435;0;112030
118436;0;130550
118437;0;77166
118438;0;291952
118439;0;0
118440;0;0
118441;3e+05;476000
118445;0;170232
118448;0;56000
118449;0;229158
118450;120000;198240
118451;0;0
118452;0;322461
118453;0;74740
118454;0;66708
118456;0;0
118458;0;86939
118460;0;94673
118461;50000;79000
118463;0;0
118464;0;0
118465;0;0
118466;0;225000
118467;0;126000
118469;0;0
118470;0;0
118472;0;0
118474;0;40704
118475;0;365000
118476;3e+05;310696
118479;0;174679
118480;0;127834
118481;0;165991
118483;0;122416
118485;8e+05;135522
118486;0;83000
118488;0;270350
118490;330000;285000
118491;3e+05;343810
118492;4e+05;265683
118494;99;130500
118495;0;174626.5
118496;0;220000
118497;0;76500
118498;0;61450
118499;0;67500
118501;0;297000
118502;2e+05;202500
118504;3e+06;114815.5
118505;0;270000
118506;0;190000
118507;5e+05;312460
118508;3500000;107195
118511;0;187305
118512;2e+05;242795
118513;0;206239
118515;5e+05;35500
118516;0;186600
118517;0;50500
118518;0;77000
118519;0;33000
118520;0;139500
118521;0;1879000
118522;0;283364.5
118523;0;0
118524;0;105000
118525;0;8000
118526;0;153000
118527;3e+05;177500
118528;4e+05;152500
118529;0;0
118530;0;124000
118531;0;202000
118532;0;404980
118533;2e+05;213061.5
118534;0;70335
118535;0;124120
118536;5e+05;0
118537;0;0
118538;0;101000
118539;0;91333
118540;0;155579.5
118541;0;86340
118542;0;122000
118543;8e+05;31500
118544;0;54380
118545;0;141660
118546;0;57900
118547;120000;40465
118548;0;124500
118549;0;124000
118550;0;0
118554;0;60482.9166666667
118555;0;0
118556;0;45983.6666666667
118557;0;388000
118558;0;122000
118560;3e+05;321691
118561;0;137000
118562;0;105173
118563;0;296270
118564;0;0
118565;0;0
118566;720000;0
118567;0;0
118568;99;64000
118569;50000;0
118571;0;114908
118573;0;337152
118576;3e+05;266219
118577;0;0
118578;0;229726
118579;0;0
118581;0;251921
118582;0;136000
118585;0;122349
118586;0;0
118587;0;0
118589;0;63300
118590;0;175000
118596;0;77620
118597;0;100442
118599;0;249000
118601;0;168000
118603;0;241000
118604;0;144000
118605;0;144000
118607;0;139000
118608;0;209000
118610;0;148641
118613;0;94802
118614;120000;93818
118615;0;121841
118616;5e+05;73891
118617;0;234703
118619;0;88841
118621;0;268000
118622;0;424749
118623;0;299930
118624;0;86500
118627;0;16000
118632;0;55320
118633;0;18300
118634;0;0
118637;5e+05;0
118638;0;302000
118639;0;161093
118640;1e+05;67420
118641;3e+06;113789
118645;250000;299482
118648;3e+05;66796.5
118649;1e+06;13000
118655;0;174423
118656;0;102605
118657;0;66008
118659;0;119700
118660;2e+06;179900
118661;0;173900
118662;0;166750
118664;5e+05;233651
118668;1500000;138579
118669;1e+06;228075
118670;0;207911
118672;0;235000
118673;0;270144
118674;0;108100
118678;0;83261
118679;0;24740
118684;0;4200
118687;2e+06;146801
118696;0;0
118698;0;61200
118700;0;43511
118701;0;161376
118702;0;124762
118706;7e+05;388457
118708;0;360000
118715;4e+06;314262
118718;0;287623
118719;2e+05;155000
118720;0;40000
118723;0;51000
118724;0;65500
118728;0;51800
118730;0;67084
118731;0;55084
118732;0;80695
118734;0;103000
118738;0;50800
118752;2300000;68500
118753;670000;96700
118757;0;59241.5
118758;56000;47651
118759;0;168000
118761;0;298000
118762;630000;13000
118763;0;21658
118765;4e+05;65200
118766;0;78000
118767;0;67000
118769;0;89865
118770;1e+06;95300
118772;0;134889
118774;0;50000
118776;0;0
118781;0;35200
118782;0;44780
118788;0;0
118789;98;0
118791;150000;238690
118792;0;0
118793;0;20000
118794;450000;246147
118795;0;0
118796;0;313323
118797;0;298853
118798;0;0
118799;0;0
118800;80000;280000
118803;0;167000
118804;0;0
118805;0;150600
118808;0;20000
118809;0;266000
118811;0;75000
118813;0;241630
118816;0;181000
118818;0;328587
118819;0;116920
118820;150000;288500
118821;0;307000
118824;60000;252697
118825;0;228200
118827;0;167800
118829;0;452000
118834;0;239000
118835;0;243000
118836;0;404000
118837;70000;72000
118838;0;986700
118843;0;1270000
118846;50000;228181
118847;0;175927
118848;0;196360
118849;0;414563
118850;0;208108
118851;0;118760
118853;0;0
118854;0;93106
118855;0;315268
118856;0;112000
118857;0;12500
118858;0;87000
118859;50000;119000
118860;50000;153200
118861;5e+05;153322
118862;0;257527
118863;0;125968
118864;0;230440
118865;0;123441.5
118866;0;94000
118867;0;117900
118868;0;123000
118870;0;212000
118873;0;284000
118874;60000;85000
118876;0;363000
118878;0;235200
118879;0;556000
118880;5e+05;32000
118881;0;155800
118882;3e+05;6540
118883;0;39700
118885;0;20900
118886;0;45000
118887;0;25000
118888;0;25000
118889;99;60000
118890;0;38000
118892;0;30000
118893;5e+05;157000
118894;0;22000
118895;0;250000
118896;0;40000
118899;0;25886
118902;0;0
118903;1800000;270000
118904;379000;178000
118905;0;152500
118907;0;0
118908;0;33000
118909;0;115228
118910;1500000;409106
118911;0;21300
118912;0;251500
118913;0;101300
118914;0;43554
118915;0;148800
118916;0;36000
118917;0;91500
118918;0;92000
118919;0;135632
118920;0;97710
118921;0;35000
118930;0;160000
118932;0;504364
118934;4e+06;340000
118935;5e+05;210000
118936;0;75000
118937;120000;215250
118938;0;263605
118940;0;205300
118941;8e+05;237000
118942;0;218000
118944;0;184000
118945;1.5e+07;439000
118946;0;317000
118947;1500000;249000
118948;0;190000
118949;0;0
118950;1e+06;380776
118951;0;198863
118952;0;0
118953;80000;89255
118954;0;144317
118955;0;91990
118956;0;186150
118957;0;0
118958;0;61470
118959;0;153000
118960;0;90000
118961;0;118064
118963;0;76000
118964;0;0
118965;0;152340
118966;0;159471
118968;0;164103
118971;0;155500
118972;0;144000
118975;0;298081
118976;450000;78000
118977;0;92030
118978;60000;109208
118979;0;97000
118981;0;284100
118982;0;56677
118983;0;101428
118984;0;189437
118987;3500000;225000
118989;0;224484
118990;0;198000
118996;0;269307
118998;0;131500
118999;0;146435
119001;0;0
119002;5e+05;323520
119003;0;788000
119005;112000;10000
119007;0;135000
119008;0;57362
119009;0;52660
119014;3e+05;175586
119015;0;83682
119016;0;104409
119018;0;61875
119019;0;127100
119020;4e+05;233292
119021;50000;289158
119022;0;71382
119023;150000;0
119024;0;95722
119026;0;56341
119027;0;56963
119030;150000;77077
119031;0;165581
119032;150000;466000
119034;0;94700
119038;0;279200
119039;0;299876
119040;150000;104000
119041;0;328900
119045;0;362000
119048;0;637000
119051;0;181715
119052;0;85174
119054;0;56000
119056;0;237559
119057;0;182212
119058;0;0
119059;1300000;214432
119064;0;107000
119066;0;69800
119067;0;71437
119072;0;95565
119073;0;150567
119074;0;86230
119077;0;21000
119079;0;244714
119082;9e+05;133416
119083;0;98062
119091;54000;143647
119093;0;112477
119094;0;80000
119095;0;104638
119097;380000;180079
119104;0;22000
119106;0;71523
119107;2e+05;66619
119108;0;41946
119109;0;0
119111;5e+05;69289
119114;0;367954
119116;0;335740
119117;0;120677
119118;0;0
119119;0;159120
119120;0;107798
119121;0;155940
119123;1e+05;112950
119124;250000;109336
119126;0;70696
119130;0;173319
119131;0;23906
119132;0;133121
119133;0;65568
119134;2e+05;134600
119140;1e+05;92016
119144;5e+05;97097
119147;0;65000
119151;0;233046
119152;0;171000
119153;0;120691
119155;0;85000
119156;0;143223.5
119157;0;51028
119160;0;120000
119161;0;186076
119162;0;211300
119163;0;227960
119165;0;214157
119171;0;129873
119172;0;209109
119173;130000;190605
119174;0;168659
119175;0;167000
119177;0;224500
119179;0;63500
119181;0;75500
119182;0;146000
119183;0;60000
119184;0;89000
119186;0;69578
119188;0;119070
119189;0;114030
119192;0;206326
119193;0;164802
119194;0;71303
119195;2e+05;163132
119197;0;23863
119199;4e+05;114907
119201;0;42980
119202;0;173632
119203;5e+05;112524
119213;450000;68044
119214;3e+05;195424
119215;2e+06;126382
119216;120000;50446
119218;2e+05;73100
119225;0;249700
119229;0;280000
119231;0;105000
119232;0;65000
119233;0;50000
119234;0;35000
119235;0;10000
119238;6e+05;480000
119239;0;0
119240;0;0
119241;0;235000
119242;0;226500
119243;0;79596
119245;0;286161
119247;0;171200
119248;0;121239
119249;0;239432
119250;0;241580
119251;0;196500
119259;0;275870
119260;0;332060
119261;0;311700
119262;0;1763551
119264;0;254000
119265;2e+05;233500
